object,creator,description
"
                Fingerhut / Thimble
                			",Martin Conrad,Fingerhut Sewing Protection. This small design can be scaled up and down depending on your finger size!
"
                weelchair aid
                			",marcus niklasson,A small table for a weelchair (or anything you can atach the barclamp on)
"
                Comic
                			",3ducation,"This design is the result of an experience we ran with 33 students from two high schools of Ioannina, Greece. Students were asked to collaboratively design creative artefacts, most of them carrying messages in Braille language. The objects are then shared with blind children in order to use 3D printing as a way to create a new medium of collaboration between blind and non-blind people. The experience so far has been very positive! You can read more about this experience on its dedicated blog!"
"
                Pen thicker
                			",Gabriela Alejandra Bravo Illanes,"This adapter allows to write to people that has lower finger's force, or has lost some (Is Easier to grip a thicker pen).This object was made for the ""Mutual de Seguridad C.Ch.C"" from Chile. In a project of the Direction of innovation and development, and the Neuro rehabilitation institute.  Post-Printing: Submerge for a few minutes the 3d printed piece on hot water and then carefully put the pencil inside"
"
                medicine box
                			",Sousa Antonio,
"
                hook for backpack
                			",Mc Donald Villacorta,Plainfill 30%no suports
"
                Keyper
                			",3D BROOKLYN,"A screw post keychain holder, perfect addition to the bottom of your bungee keychain."
"
                Pen to palm adapter
                			",Gabriela Alejandra Bravo Illanes,"This adapter allows to write with the hand movement. it's useful for people that has lost their fingers movement or it's limited.This object was made for the ""Mutual de Seguridad C.Ch.C"" from Chile. In a project of the Direction of innovation and development, and the Neuro rehabilitation institute. Post-printtingAfter printing you should shape it to the hand of the user by heating it with hot water or a heat gun (be careful with no burn the patient). Use as example the picture "
"
                Adjustable Elbow Rest Mouse Pad - Roccat Comp
                			",N3D proto,Check out my rolling adjustable Elbow Rest Mouse Pad!
"
                Snaplock Pint Holder for Microphone Stand
                			",Trevor Day - Enterprise XD Design,"Let's be honest here; when you're gigging you get thirsty.  I decided therefore to apply the Snaplock design to hold the standard pint glass for that thirsty musician in your life.  Again this design is completely 3D printed, only needing a strip of foam rubber glued into the aperture to make sure it stays on and doesn't spill your pint.  This is designed for a standard 15mm mic stand, if anyone needs it let me know and we can discuss adapting it to your needs"
"
                soporte para puas
                			",Juan Sione,este soporte lo diceñe para una renombrada banda de mi ciudad y estan muy contentos con los resultados
"
                Braille Elephant Puzzle
                			",christian.c,This is a tactile learning tool to help blind people grasp the shapes and anatomy of Elephants! It has printed braille text on each piece of the jigsaw so that they can identify where each piece goes using the connecting joints.
"
                Cup Holder for a Porch Swing
                			",Hank Dietz,"Another one of those start-of-Summer rituals is getting the old porch swing back into working shape. Ok, we don't actually have a porch; the swing really is on our deck right now and we'll be moving it to near our pond, but that's irrelevant.... Anyway, what good is a swing if you can't enjoy a refreshing beverage while swinging? Here's my cup holder that clamps onto the non-swinging metal sidebar of the swing.See http://www.thingiverse.com/thing:347495 for the improved double-cup holder...."
"
                UPDATED FOR STAGE TWO Joe Palmer - water tap
                			",Joe Palmer,Design By Joe Palmer -Stage Two:The design has been modified to have fewer parts and ensure it is leak-proof.  Stage One:A multi‐piece snap together water dispensing tap with integrated soap holder. Capable of being packed into a very small overall volume for transportation and made of brightly coloured plastic this design should appeal to children whilst still being functional.File contains Stage One and Stage Two submissions.ADD YOUR COMMENTS BELOW!
